true,predict
250.12884365272564,247.32414943567971
239.87891936263009,249.47987434982306
228.3497640850553,236.42189922390472
226.3823628884516,222.45181321433964
221.5266172239463,219.9627814225044
222.89124046749444,217.45706485455133
222.81288735771057,220.2031750168737
230.3875596349285,220.61299404230937
244.23069019512755,230.31518967392836
229.71764254230905,233.87279728463466
220.58373546274672,233.87413272828707
220.5942923473104,219.9709611615283
222.71280496726345,220.8252359498567
255.44226848382976,226.46464158904575
242.03543222949304,245.49896870027496
224.78185446086465,240.8781097010799
228.92446050401708,225.7197340176909
247.47634405155588,249.41529314918975
236.3328196665417,239.3063920096636
244.37673573902111,248.65588272449617
231.1093208880901,245.47801086366542
211.3126103978819,224.0557537672553
208.64482960748057,203.83924739401397
207.46199373607988,210.79035815401207
211.27903532413143,210.4974797644204
202.3801026998911,208.73278716623398
201.79657746347343,195.53672134577764
214.77877267805025,196.69904786867
199.37038543903023,203.58353518419594
201.32166190644224,198.4085327232668
205.28073430279449,202.77399794922016
180.1544693600207,201.36135537338944
173.24213125524489,170.74226955016465
178.98974804477157,166.7577804514808
189.48822091421897,185.08487678900937
198.71415478880908,184.6033337074652
210.0299722798649,199.89530493342403
208.04698245674828,216.56180928020947
203.4102377332347,198.77406012071356
202.43476305020485,200.1243568393876
202.4818482541504,208.146276494493
214.3799326295577,208.20550383823294
209.9560954268372,212.81416206389963
191.3731449331559,205.01988396931733
187.54746869386625,190.3285482394292
187.2122844620878,185.42735745148815
196.28976226298084,187.9283600591655
194.2763289744568,196.0904798102838
205.2065060188593,199.41834511393057
223.80277998407132,211.76182166089836
209.28187691398185,210.54936399885264
197.35716767680836,204.0749987179746
211.55282279955347,198.15926052536523
224.146493592993,214.4859145769657
256.6888793017456,247.86088627317565
260.9542257382687,249.7596090618824
269.28202321902324,252.0856582979519
301.0174282520223,277.1260807592929
362.0930746329289,324.3874496139918
350.705353626428,367.80563627871277
380.67271424667535,374.67229416881304
379.61549170225913,389.11781881022637
371.5582602376013,383.5517651984296
377.0135715998347,387.8364571463348
385.6721603680121,398.0636852112591
418.5192129525029,404.8262356697653
426.1669823147456,426.6275127278386
454.0765275983685,439.0641640228205
474.5258047365269,470.872335230077
477.0921150279279,475.85234966454925
490.8989870898476,496.88663292450383
504.10630866742633,509.31566319307393
486.4125532179386,497.7286281268428
492.9171714022116,490.76098464677784
497.7098654660007,502.7655471131857
514.7801545947273,513.1391979182783
534.2869864093032,528.5456004247684
561.2218479328718,552.2851621623214
557.4057387029496,567.3471780479828
570.0620394548359,561.5007584200363
573.9909515716124,574.2539727469074
578.1584529442413,582.1915968734502
602.05148429257,598.6794256673925
609.3770996934844,609.6812198824821
589.4240607912935,603.4077598985285
591.8408740426657,590.7118888372876
599.2025673601266,597.0482730804869
616.7982168124717,607.080845308209
621.8620033024469,618.2316787961779
638.5030263098557,631.5719597413228
662.4382505185306,649.2113775642124
646.5323796135709,648.5209257927243
637.3561905443796,636.0128387257824
662.2260239344844,643.0869755891672
679.247130256144,667.5102612760983
722.3783757434475,696.4889618319504
732.5869553029274,717.6617123106865
767.4857096841191,732.5121744849871
798.6111110607234,786.1071523739708
811.9098435276445,841.9475787945844
797.2973544730311,817.4489351521311
828.0182027607889,833.0890846678983
861.175810829858,837.0875277977233
860.9929318810133,863.6094416293145
871.6904233686876,873.7034157670653
881.4095170205571,887.2126706853135
904.3872532938432,911.4896376306526
903.9881579884824,919.057711036898
933.2278190814347,932.8675795061877
939.5283116292844,951.7240185549821
931.8198849667904,947.9393147515283
934.9372260518398,952.4419615234572
939.4328002264588,951.8771184724242
913.4141331751032,930.9059093559924
908.5792232757616,921.7883923936919
897.0503439358814,908.8335764157636
904.5743776827306,901.775885639138
918.19952021936,907.5527198752422
941.0744305870392,931.1790700354762
926.9636853998244,932.0476061038661
943.4844507865288,930.4794365175834
941.2145840908802,938.5034500473737
939.6492278246392,937.8456917316075
960.1378997048396,955.9884512564497
965.0622306218622,964.4259723459523
935.8925309651872,948.4733291325059
928.1664826929148,936.6502948367112
927.9811540480156,931.4093407989243
935.9904790526812,932.5290582725584
934.1091877131356,933.5769832777323
941.608842165222,940.5543385788046
954.5320926707376,948.4755818104431
920.7248363787394,931.1209679122146
901.6501855795144,901.7899129465258
917.684099414092,904.2144642466836
917.8343102126277,913.9822447661809
937.9546705988477,932.1806808858402
933.528471807992,927.6749443470046
940.2984728806688,944.4318551977356
961.6690801067672,950.6514810780113
959.3264902534078,966.936971203775
933.9743194985448,945.401718511399
963.3744357289607,952.9012114491169
954.8901093701692,979.982795899495
938.31528779449,950.8564409200284
942.249955042071,943.0788138091533
940.7771797148364,948.8703963289283
957.3419063710788,954.2604110394137
950.4874262757032,957.4156796696669
978.0932000578276,971.0383325439643
971.8498693203404,978.218235366425
965.924989725916,969.2752083630736
964.1562571614494,975.6869961721711
962.106582471994,972.7005404559063
940.6514543782628,947.5559602941277
933.3418877362084,938.8421379828579
916.6934258548288,920.3135238343472
920.8005814858436,916.0912062022618
925.1740354694532,922.4841366315696
941.4732435532212,937.4149522402362
924.322151495424,926.5312573015294
941.170074425582,930.7784140957777
937.4963029082966,931.5058593706525
931.3779863577412,933.584624200413
940.6368667571188,947.4419432958124
947.577477069425,947.285176055096
921.3687773845436,928.3659816589053
911.8949782969266,917.4574959517507
908.5365708599328,913.2889528436529
906.7889540814166,911.1702217172543
904.8825641666314,905.8788934736224
905.017977112018,911.5770441271089
891.8233630956853,912.2894793780182
871.9851964662764,863.2573896893113
851.7706909784636,850.8715155914795
863.2560963045153,854.6035278393941
856.0501429114936,853.4129812517853
861.2713722261035,861.7728321807598
858.4950955261604,846.7875411456528
845.2592340966993,853.6910387427365
842.7631274695314,853.8792476227646
831.2215737292802,838.7355749480929
812.760509497782,810.3260831604844
810.6488266827544,830.8771726740067
788.5435485840861,797.1613860132786
771.0370472205485,768.9168175515929
755.138959133043,763.7863021309092
734.3573574671401,746.1365159858882
729.3418119939073,736.5410894897361
709.5959176559604,713.7690626434221
702.6988602322687,717.5331359079914
685.1994907629139,685.4968186576094
663.7983813065995,670.2462252176596
648.9219082635793,654.6052231036941
627.6694493570574,639.2368984297711
615.7978071012868,602.3357219853185
592.5419648586195,595.9191659021124
567.7404164709113,564.6210889307798
554.7648357567339,553.5523921152676
540.9225006225711,541.8000828455143
543.6774169153214,537.975720949717
524.8140359199583,516.9516560227078
534.1567407236705,522.3949892667364
530.9012898743108,516.7522198044686
515.1240308425258,516.0827637670499
512.3186596725717,515.7839503492132
518.0542111696931,515.0774630934161
503.1958341553558,497.2303293330699
499.0249903577553,494.30741988923
494.7920795514567,496.15136868520034
486.5197685698189,491.81875757283
485.9103897816698,487.1446885441949
489.0254617798335,491.0749900699339
471.614102896092,481.90973151379995
462.9516267705956,459.3543510046627
454.73043897208726,447.47400533867
461.56188877920215,461.3464656503819
457.7811554311217,455.533621191894
464.0394645986981,464.43056890804115
470.2530210811426,464.80917634128963
468.2537252469822,464.1311482979245
461.512707204122,472.97159041893127
461.2142101664367,460.9772830009798
462.8640633039038,457.776075991453
465.6617224768078,473.09702323773945
458.4533253274303,459.576749876584
459.16376131186007,456.3922666423199
459.95203368189567,456.9235482432942
453.3028472909945,454.8324349604618
453.05547936978144,460.88942495108813
454.8221662198509,449.4077672144152
452.6254512600202,458.9173819817382
455.7366003007595,449.72764744812935
448.47688410178864,448.9069380717909
448.1509627123947,447.1192434310867
437.9126259801697,442.28894138003443
438.80714171385694,439.59974560153677
425.0305105705866,427.70934067984786
422.534139506299,411.29846664763807
416.79312919054775,414.0118697469774
403.0036904832109,407.43052931692506
406.00765917366255,405.0529740696407
396.3012976039765,390.9669325775244
402.4137147757663,400.41129163958357
408.1722081528818,397.9960021298401
391.9519744772519,394.53091823883665
383.5491515393714,387.91587347151494
388.5157495223702,387.6552682815589
383.0190963894124,378.1239656818544
381.0758612738044,378.8767079905403
371.5803662882632,378.4166653599134
362.91967485388096,364.6027520604009
357.7884700530508,360.78688064774207
358.3497228038656,361.00868076982556
340.9288344007846,344.04809850881725
333.75056148339905,332.2835831704312
330.1575309699776,323.4288810300994
328.82106844868144,327.7028178323336
322.34049639187765,318.28773105983385
323.922433446756,322.038794712239
325.49055975270784,324.1301798504839
323.3591095575599,319.56474281491217
310.2681088797754,315.8048071199481
305.61840744229056,305.91803926972557
305.78038941404554,304.02355228461875
305.0781913838603,306.9566615997268
298.9059527334324,298.00279120825047
298.9575943192857,298.1075495133306
299.35885678325474,298.24346811948544
289.1809054970831,292.31636236008745
273.869704509186,288.77662579207123
279.131889873099,275.23515584316874
270.6160671546939,276.2421543038773
271.43564427251187,273.0133987054471
269.74988523914465,265.19518311052116
267.5588043292882,268.3629851894731
